client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17367524.mp3	A veure.	0	2	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17367528.mp3	A què et dediques?	1	2	thirties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368518.mp3	"L'import màxim de les despeses de publicitat de la licitació que haurà d'abonar l'adjudicatari serà de sis-cents euros."	1	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368543.mp3	La porta és oberta.	1	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368553.mp3	No va ser així.	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368563.mp3	Vaig entrar.	0	3	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368566.mp3	Ningú no parlava.	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368573.mp3	Ara ho recordo.	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368581.mp3	Ho veus?	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368588.mp3	Jo no vaig dir res.	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17368598.mp3	"Caldrà aportar l'escriptura d'ampliació de capital inscrita al Registre Mercantil."	0	2	fourties	male	valencian	ca	
6625d77863f063de3a29864e2daa3b93144dac379e6cb65dcc9abe04b947ce8f2b1e8bb04aa1a2b9dd572b8dc32fd436e8fb8f0d4d6060af802358dab6ed36eb	common_voice_ca_17368639.mp3	Res: passava el temps, fins que arribara la nit.	0	2	twenties	male	central	ca	
74db8be53adcdd52907b7f29b2877c933284547fb34bbe0f207b02ad9ecfab7bbb34021a9284aa0bce60436cfc1b068749fc44a8e9989b3600bcb4e86774ffd1	common_voice_ca_17368644.mp3	I ací, sense ira ni ressentiment, us dic adéu.	0	3	thirties	male	central	ca	
7834da277192e9434b0c039272ee6b3f1b225d2f975aa175fee762fb0d5f16b1edba2e0dbf11d8aa2bab5984482f703f88f0e9d1786a7687710ea2688f307ccd	common_voice_ca_17369042.mp3	"El complement específic s'abona en dotze mensualitats i la seua quantia anual és de mil sis-cents noranta-un coma quaranta euros."	1	2	thirties	male	central	ca	
7834da277192e9434b0c039272ee6b3f1b225d2f975aa175fee762fb0d5f16b1edba2e0dbf11d8aa2bab5984482f703f88f0e9d1786a7687710ea2688f307ccd	common_voice_ca_17369161.mp3	Té forma irregular i mesura una superfície de quatre-cents quaranta-sis metres, quaranta decímetres quadrats.	1	3	thirties	male	central	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17371474.mp3	"L'entitat organitzadora de les activitats serà la responsable de les instal·lacions en tot moment."	1	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17371528.mp3	Els pendents són relativament escassos, compresos entre un cinc i un quinze per cent.	0	2	fourties	male	valencian	ca	
35b962b08846ed7d8a4cc47582a4e607f5ff4136042ce0b1adb55d1e8d58e2dc1abc5807b3601a7f7be1ada5939e1771e128fc916c1b5d39ed3619e251707952	common_voice_ca_17371537.mp3	"Quan s'extingí la personalitat jurídica, tindrà lloc la liquidació de la Junta."	1	2	fourties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371838.mp3	I per què ho dic?	2	3	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371840.mp3	Vaig moure el cap.	1	2	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371924.mp3	"Insuficiència venosa perifèrica que produïsca signes d'èxtasi a l'esforç."	0	3	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371925.mp3	"Perquè hi ha un cos de professionals compromesos amb el servei públic que n'asseguren la qualitat."	1	3	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371947.mp3	Li agrada el contacte amb les persones.	0	2	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17371949.mp3	Sacsejà el cap.	1	2	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17372050.mp3	Com us trobeu?	3	4	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17372052.mp3	Constarà de cinc preguntes de resposta curta.	3	4	thirties	male	valencian	ca	
84d79206c1e40f83fb8b1bb0ca219fcffdbd794102e79ea05c7dba178935e4606ab6d55a3d203b0d8e7c3e5a6d2bb8224f24b7e94ed16fa81a76e0b136ff3b16	common_voice_ca_17372158.mp3	Passem a la cinquena votació.	1	2	thirties	male	valencian	ca	
